Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,118.45135756003869,0.2280554758635159,0.41534415665321023,-84.44816148640975,14.673913043478262,184,2.4471428095718117
Período 1 (2015-01-01 a 2015-06-29),-23.33334673818078,-5.826862560703768,-3.3398832518449937,-23.333346738180783,0.0,9,-0.9389198138421984
Período 2 (2015-06-30 a 2015-12-26),28.249052692842614,1.3834130239514442,4.317250391609937,-14.453504414521856,12.5,8,5.254135117251657
Período 3 (2015-12-27 a 2016-06-23),-13.628989992565863,-3.7753192273165967,-2.9755329613503783,-13.628989992565865,0.0,5,-0.9183149247915856
Período 4 (2016-06-24 a 2016-12-20),24.50549719491103,1.2836244197941784,3.3791362350289615,-15.218106673989828,25.0,4,0.9381676428141139
Período 5 (2016-12-21 a 2017-06-18),102.20173653134472,1.7435963162852228,12.811587616054448,-14.498779613660407,75.0,4,21.63578589637889
Período 6 (2017-06-19 a 2017-12-15),49.598887168692414,1.7672984378919354,9.33820736584986,-8.371904456382072,33.33333333333333,3,16.686246308687224
Período 7 (2017-12-16 a 2018-06-13),4.297707381285235,0.18744979859875666,0.36999536676494577,-27.53369448206331,16.666666666666664,6,2.679997860662331
Período 8 (2018-06-14 a 2018-12-10),9.39338118710036,0.4678746211721379,0.9437746317208475,-22.29676797642366,11.11111111111111,9,-0.5355198553249951
Período 9 (2018-12-11 a 2019-06-08),44.59924350926576,1.5701277330815429,7.749424486437268,-10.674635029056756,25.0,4,11.88670814317856
Período 10 (2019-06-09 a 2019-12-05),12.287377135294548,0.6897578435918177,1.5004823427193341,-12.432100786638568,25.0,8,1.8595790203844498
Período 11 (2019-12-06 a 2020-06-02),110.41181134672344,1.3777965318114043,17.73820433303928,-12.307801090992355,66.66666666666666,3,30.49541866671923
Período 12 (2020-06-03 a 2020-11-29),53.50759213561895,1.5034177560260926,7.203417787900313,-20.014576275810803,33.33333333333333,9,7.005216391891245
Período 13 (2020-11-30 a 2021-05-28),-23.775275590380303,-4.281201544256353,-2.568742967257873,-23.775275590380307,0.0,9,-1.000876368609449
Período 14 (2021-05-29 a 2021-11-24),-28.43075459450293,-5.5862672500344,-3.161613717612225,-28.43075459450293,0.0,11,-1.0252695772149045
Período 15 (2021-11-25 a 2022-05-23),-21.561385014693386,-3.643180234427314,-2.6248941482373174,-21.56138501469339,0.0,8,-1.020719560607164
Período 16 (2022-05-24 a 2022-11-19),-15.453649189458432,-3.34698205652934,-2.628845716261241,-18.64144138037639,0.0,7,-0.9341311343766034
Período 17 (2022-11-20 a 2023-05-18),-2.6676506107650795,-0.2174501004582912,-0.3319569441572292,-27.14781847061295,11.11111111111111,9,1.7258872637575307
Período 18 (2023-05-19 a 2023-11-14),-12.74657232572774,-2.0215597719386493,-1.770784101559741,-15.788774020629603,14.285714285714285,7,0.04022527026332767
Período 19 (2023-11-15 a 2024-05-12),-13.948374404212515,-4.008543705724316,-2.925970490152259,-13.948374404212515,0.0,5,-0.9885397111262795
Período 20 (2024-05-13 a 2024-11-08),-21.446996660078128,-2.9774818300804147,-2.1998184275275507,-21.44699666007813,0.0,8,-1.002942495436454
Período 21 (2024-11-09 a 2025-05-07),-7.3154247238695405,-0.6856660078641859,-0.8510639568893363,-23.087096635768035,0.0,7,-0.9128121108159748
Período 22 (2025-05-08 a 2025-11-03),-23.869262384296874,-3.6710485646587943,-2.6062971672857578,-25.855930333930544,8.333333333333332,12,-0.26476721220730637
Período 23 (2025-11-04 a 2025-11-25),0.0,,,-0.0,,0,
