Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,222.17034155916417,0.3936448322642349,0.7650496119672457,-39.926558991893536,25.581395348837212,43,4.852581676673506
2015 Q1,0.0,,,-0.0,,0,
2015 Q2,0.0,,,-0.0,,0,
2015 Q3,0.0,,,-0.0,,0,
2015 Q4,0.0,,,-0.0,,0,
2016 Q1,0.0,,,-0.0,,0,
2016 Q2,0.0,,,-0.0,,0,
2016 Q3,0.0,,,-0.0,,0,
2016 Q4,-5.920985489074326,-3.186094257684369,-2.4939188404063515,-5.920985489074326,0.0,1,-4.020402148468216
2017 Q1,0.0,,,-0.0,,0,
2017 Q2,-4.334085624477552,-3.125814487360002,-2.605972302711146,-4.334085624477558,,0,
2017 Q3,0.0,,,-0.0,,0,
2017 Q4,-5.967439879877347,-0.7317255723914782,-0.8985042653101005,-17.196978343972212,0.0,1,-4.068392632597339
2018 Q1,-5.950244595339839,-2.334124287591518,-1.8278761785099067,-5.9502445953398375,0.0,1,-3.9704263286832076
2018 Q2,-6.0735899256484345,-2.3257055155795814,-1.8168944335550423,-6.073589925648437,0.0,1,-4.093630710873164
2018 Q3,0.0,,,-0.0,,0,
2018 Q4,0.0,,,-0.0,,0,
2019 Q1,0.0,,,-0.0,,0,
2019 Q2,0.0,,,-0.0,,0,
2019 Q3,2.5723401973828146,0.9164673080671146,2.079505702660598,-2.0837795135480564,,0,
2019 Q4,0.0,,,-0.0,,0,
2020 Q1,0.0,,,-0.0,,0,
2020 Q2,0.0,,,-0.0,,0,
2020 Q3,0.0,,,-0.0,,0,
2020 Q4,0.0,,,-0.0,,0,
2021 Q1,0.0,,,-0.0,,0,
2021 Q2,0.0,,,-0.0,,0,
2021 Q3,0.0,,,-0.0,,0,
2021 Q4,0.0,,,-0.0,,0,
2022 Q1,0.0,,,-0.0,,0,
2022 Q2,0.0,,,-0.0,,0,
2022 Q3,0.0,,,-0.0,,0,
2022 Q4,0.0,,,-0.0,,0,
2023 Q1,0.0,,,-0.0,,0,
2023 Q2,0.0,,,-0.0,,0,
2023 Q3,0.0,,,-0.0,,0,
2023 Q4,0.0,,,-0.0,,0,
2024 Q1,-1.8135230442187407,-1.5821681163814785,-1.4961376103357973,-2.3491087527150123,,0,
2024 Q2,-5.979139984734388,-3.058625998925145,-2.3848392369532077,-5.979139984734383,0.0,1,-4.000451240159242
2024 Q3,0.0,,,-0.0,,0,
2024 Q4,0.0,,,-0.0,,0,
2025 Q1,0.0,,,-0.0,,0,
2025 Q2,0.0,,,-0.0,,0,
2025 Q3,0.0,,,-0.0,,0,
2025 Q4,0.0,,,-0.0,,0,
